name,price,image,category
Pink Petal | Rendition of Bright Crystal - 50ml,2000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/26.png?v=1727629052,Perfume
Pink Petal | Rendition of Bright Crystal - 100ml,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/27.png?v=1727629052,Perfume
Ombre Leather - 30ml,2500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/ombre_d1094393-3b11-41ac-8df6-d93a64f87fc4.png?v=1727626146,Perfume
Midnight Star | Renditon of Blue Vanille - 30ml,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/midnightstar_d9bda561-29ef-4f18-b591-a78b1240e0a2.png?v=1727630279,Perfume
Gallant - 30ml,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/gallant.png?v=1725185526,Perfume
Carlisle - 30ml,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/carlisle.png?v=1725099428,Perfume
Dior Homme Parfum - 30ml,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/diorhommeparfum.png?v=1723301842,Perfume
Delina Exclusif - 30ml,2400,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/delina.png?v=1727630774,Perfume
Si Passione - 30ml,2400,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/sipassione.png?v=1727630769,Perfume
Narcisso Rodriguez For Her - 30ml,2400,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/narciso.png?v=1727630764,Perfume
Valaya - 30ml,2400,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/valaya.png?v=1727630760,Perfume
Pear & Guava,3300,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/pear_and_guava.png?v=1727628417,Home
Cherry Blossoms,3300,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/cherryblossoms.png?v=1727628406,Home
Bergamot Waters & Jasmine,3300,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/bergamotwater.png?v=1727628375,Home
King's Orchard | Reed Diffuser,4000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/kings_orchard_a977a4ce-cbe2-4f5e-903b-7bd74833de53.png?v=1727621866,Home
Fairy Dust | Reed Diffuser,4000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/fairy_dust_f551ab02-05e7-4a42-ba19-950e0d2a1887.png?v=1727621940,Home
Nova | Reed Diffuser,4500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/nova_78090b11-c941-4c9a-8bfb-d5558eae681c.png?v=1727621923,Home
Vibrato Sospiro,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/vibrato_sospiro_61b85ab8-cf1c-4595-838b-8eadb539d8b7.png?v=1723055205,Perfume
Hibiscus Mahajad,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/hibiscus_mahajad_fbfd14a6-e7a9-41e7-a98e-644dc5ff144b.png?v=1723055209,Perfume
Aventus | Perfume Wax,1200,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/aventus-wax-1_3c9e0e27-9759-4de7-99fa-8dbb0acf83b1.png?v=1723055215,Perfume
